"County","District","School","Students","API Score","API Base","Growth","Target","Met Target"
"Los Angeles","Wilsona Elementary","Challenger Middle",540,770,"770","0","5",No
"Los Angeles","Long Beach Unified","Hughes Middle",1525,846,"846","0","A",No
"Los Angeles","Los Angeles Unified","Center for Advanced Learning",196,830,"816","14","A",Yes
"Los Angeles","Los Angeles Unified","Lou Dantzler Preparatory Charter Element",196,796,"793","3","5",No
"Los Angeles","Los Angeles Unified","Santa Rosa Charter Academy",196,787,"761","26","5",No
"Los Angeles","Alhambra Unified","Ynez Elementary",700,890,"883","7","A",No
"Los Angeles","Los Angeles Unified","ICEF Vista Middle Academy",195,798,"779","19","5",Yes
"Los Angeles","Antelope Valley Union High","Los Angeles County Online High",194,607,"659","-52","7",No
"Los Angeles","Los Angeles Unified","Apple Academy Charter Public",194,708,"B","B","B",
"Los Angeles","Los Angeles Unified","Stanford Avenue Elementary",459,760,"775","-15","5",No
"Los Angeles","Azusa Unified","Magnolia Elementary",193,728,"765","-37","5",No
"Los Angeles","Hacienda la Puente Unified","Wing Lane Elementary",193,772,"799","-27","1",No
"Los Angeles","Los Angeles Unified","Lockhurst Drive Charter Elementary",192,868,"874","-6","A",Yes
"Los Angeles","Pasadena Unified","San Rafael Elementary",192,834,"780","54","5",Yes
"Los Angeles","Los Angeles Unified","Equitas Academy Charter",191,894,"868","26","A",Yes
"Los Angeles","Los Angeles Unified","Aspire Slauson Academy Charter",191,783,"757","26","5",No
"Los Angeles","Los Angeles Unified","Pinewood Avenue Elementary",191,784,"796","-12","4",No
"Los Angeles","Los Angeles Unified","Sheridan Street Elementary",700,730,"758","-28","5",No
"Los Angeles","West Covina Unified","Hollencrest Middle",701,852,"843","9","A",Yes
"Los Angeles","Los Angeles Unified","Albion Street Elementary",190,811,"830","-19","A",No
"Los Angeles","SBE - Barack Obama Charter","Barack Obama Charter",190,755,"751","4","5",No
"Los Angeles","Torrance Unified","Madrona Middle",702,882,"891","-9","A",Yes
"Los Angeles","Los Angeles Unified","Milagro Charter",189,884,"894","-10","A",Yes
"Los Angeles","Los Angeles Unified","Aspire Antonio Maria Lugo Academy",188,835,"821","14","A",Yes
"Los Angeles","Los Angeles Unified","Cheremoya Avenue Elementary",187,847,"844","3","A",Yes
"Los Angeles","Los Angeles Unified","Glen Alta Elementary",187,752,"739","13","5",Yes
"Los Angeles","Los Angeles Unified","Rockdale Elementary",187,831,"849","-18","A",Yes
"Los Angeles","Los Angeles County Office of E","Los Angeles International Charter High",186,785,"743","42","5",Yes
"Los Angeles","Los Angeles Unified","Marlton",186,529,"543","-14","D",
"Los Angeles","Los Angeles Unified","Crenshaw Arts-Technology Charter High",185,666,"703","-37","5",No
"Los Angeles","Los Angeles Unified","Manhattan Place Elementary",185,732,"672","60","6",Yes
"Los Angeles","Westside Union Elementary","Anaverde Hills",185,865,"C","C","C",
"Los Angeles","SBE - Ingenium Charter","Ingenium Charter",185,773,"808","-35","A",No
"Los Angeles","Rowland Unified","Giano Intermediate",703,765,"756","9","5",Yes
"Los Angeles","Palmdale Elementary","Los Amigos",703,805,"814","-9","A",No
"Los Angeles","Los Angeles Unified","Ararat Charter",184,875,"878","-3","A",Yes
"Los Angeles","Pasadena Unified","Jackson Elementary",183,742,"768","-26","5",No
"Los Angeles","Inglewood Unified","ICEF Inglewood Elementary Charter Academ",182,827,"B","B","B",
"Los Angeles","Los Angeles Unified","Port of Los Angeles High",703,834,"840","-6","A",Yes
"Los Angeles","Antelope Valley Union High","Academies of the Antelope Valley",181,776,"B","B","B",
"Los Angeles","Azusa Unified","W. R. Powell Elementary",181,745,"788","-43","5",No
"Los Angeles","Claremont Unified","Oakmont Elementary",181,854,"858","-4","A",Yes
"Los Angeles","Los Angeles Unified","APEX Academy",181,629,"597","32","10",Yes
"Los Angeles","Inglewood Unified","ICEF Inglewood Middle Charter Academy",178,727,"674","53","6",Yes
"Los Angeles","Los Angeles Unified","Lomita Math/Science/Technology Magnet",705,891,"895","-4","A",Yes
"Los Angeles","Lancaster Elementary","Endeavour Middle",705,744,"773","-29","5",No
"Los Angeles","Los Angeles Unified","Magnolia Science Academy 4",177,761,"767","-6","5",No
"Los Angeles","Los Angeles Unified","Frederick Douglass Academy Elementary",177,741,"730","11","5",No
"Los Angeles","Los Angeles Unified","Alliance College-Ready Academy High No.",177,769,"748","21","5",Yes
"Los Angeles","Los Angeles Unified","Latona Avenue Elementary",177,729,"746","-17","5",No
"Los Angeles","Los Angeles Unified","Visual and Performing Arts at Legacy Hig",176,575,"B","B","B",
"Los Angeles","Los Angeles Unified","Rosewood Avenue Elementary",175,836,"833","3","A",Yes
"Los Angeles","Santa Monica-Malibu Unified","Juan Cabrillo Elementary",174,877,"879","-2","A",Yes
"Los Angeles","Santa Monica-Malibu Unified","John Muir Elementary",174,815,"823","-8","A",No
"Los Angeles","Los Angeles Unified","Extera Public",173,802,"745","57","5",Yes
"Los Angeles","South Whittier Elementary","Lake Marie Elementary",173,748,"770","-22","5",No
"Los Angeles","Los Angeles Unified","Topanga Learn-Charter Elementary",172,951,"939","12","A",Yes
"Los Angeles","Los Angeles Unified","Alphonso B. Perez Special Education Cent",172,857,"816","41","D",
"Los Angeles","Baldwin Park Unified","Olive Middle",501,790,"798","-8","2",No
"Los Angeles","Torrance Unified","J. H. Hull Middle",709,800,"826","-26","A",No
"Los Angeles","Los Angeles Unified","Elysian Heights Elementary",170,820,"824","-4","A",No
"Los Angeles","Santa Monica-Malibu Unified","Point Dume Elementary",170,929,"938","-9","A",Yes
"Los Angeles","El Monte City","Columbia Elementary",709,826,"840","-14","A",Yes
"Los Angeles","Newhall","Stevenson Ranch Elementary",710,978,"981","-3","A",Yes
"Los Angeles","Los Angeles Unified","Micheltorena Street Elementary",168,741,"715","26","5",No
"Los Angeles","Los Angeles Unified","Marina del Rey Middle",711,743,"730","13","5",No
