"Carrier Name","Carrier Location","Carrier Status","Allowed to Operate","Watchlist Reason","Fleet Size","BASIC Status","SAFER Details"
"California Sun Line","Chatsworth, CA","See BASIC Status Link","No",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=L7B6glkuF+0=&DOCKET=rrRJg6PZ498=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1360120"
"Charter America","Sacramento, CA","See BASIC Status Link","No",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=wF58M59HodM=&DOCKET=nIGCgvGAJEo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=700910"
"Delta Holiday Inc","San Gabriel, CA","See BASIC Status Link","No",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=G4nRzzdqvwI=&DOCKET=4XtY9p1q/T8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2270226"
"Lucky Stars Charters & Tours","San Jose, CA","See BASIC Status Link","No",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=GpbzeYLgXxk=&DOCKET=Hez37w7XZdw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1065187"
"Pacific Bay Tours Llc","San Diego, CA","See BASIC Status Link","No",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=QZtHt57bcjs=&DOCKET=qVeAPXDz90Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2354275"
"Abad Transport","Santa Ana, CA","Further Monitoring","No","Hours-of-Service (HOS) Compliance (Alert)",1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=3X+2NPGZSnk=&DOCKET=ya63wLRNdEo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1081239"
"Bayside Express","Chula Vista, CA","Further Monitoring","No","Hours-of-Service (HOS) Compliance (Violation, Alert)",2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KqAJp6DSK7Q=&DOCKET=Mxtk223nSGc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=786262"
"G And S Tours","Los Angeles, CA","Further Monitoring","No","Hours-of-Service (HOS) Compliance (Violation, Alert)",4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=tPuhxQPbuKI=&DOCKET=bhaYRIAo5WQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1246539"
"Magic World Tours","San Ysidro, CA","Further Monitoring","No","Hours-of-Service (HOS) Compliance (Violation, Alert)",,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=vnavJi8U4rQ=&DOCKET=eDq+ZCLav3s=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2196007"
"Naipes Tours","San Diego, CA","Further Monitoring","No","Hours-of-Service (HOS) Compliance (Violation, Alert)",3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=boEYE9PL52g=&DOCKET=Vpr9PyXGsYQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=854248"
"A Classy Limousine Service","Bellflower, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=g9qod0JwKnM=&DOCKET=W2alJYXDvn0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=794997"
"A Top Line Charter","Monterey Park, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=77MuINnOV3A=&DOCKET=xbqlmtpN+VI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1670488"
"A& A Charter Tours","San Ysidro, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=/EgRivXpAGw=&DOCKET=xWQCvPjST9M=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2181830"
"Ace Tours","National City, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=nN+dFje3sMg=&DOCKET=mcNMRn68wBA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1073083"
"Aim International Management Llc","Rosemead, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=j5xbjefXroA=&DOCKET=ON9AC4zsnH0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1625945"
"Alpine Meadows Ski Resort, Llc","Tahoe City, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=WKFnSATZxKs=&DOCKET=TV9oQ7RAC6M=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1715081"
"Alvand Limousine Services","Glendale, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=RMt6zvkFsk4=&DOCKET=fIjIsVFkeLk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1047732"
"Amadeus Tour & Travel","Norwalk, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=lswx65k6Rfc=&DOCKET=Tx04U1kCQJI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=454283"
