District,County,Grade 9-12 Enrollment,Enrollment Change from 2010-2011,Grade 9-12,Change from 2010-2011,Hispanic,Hispanic Change from 2010-2011,Asian,Asian Change from 2010-2011,African American,African American Change from 2010-2011,White,White Change from 2010-2011
ABC Unified,Los Angeles,6893,-0.02,68,-0.33,47,-0.468,8,0,6,-1,5,0
Acton-Agua Dulce Unified,Los Angeles,509,-0.15,23,0.67,3,0,0,n/a,0,n/a,16,0.375
Alhambra Unified,Los Angeles,8086,-0.02,163,0.67,75,0.333,82,0.488,0,n/a,2,0
Antelope Valley Union High,Los Angeles,25536,-0.02,1635,-0.15,853,-0.157,15,0.133,416,-0.221,301,-0.186
Arcadia Unified,Los Angeles,3697,0,1,-1,0,n/a,0,n/a,0,n/a,1,0
Azusa Unified,Los Angeles,3110,-0.05,45,-0.3,41,-0.439,0,n/a,1,-1,3,-0.333
Baldwin Park Unified,Los Angeles,8613,-0.05,790,-0.14,636,-0.16,10,-1.2,74,-0.554,43,-0.419
Bassett Unified,Los Angeles,1236,-0.07,16,-0.41,15,-0.933,0,n/a,0,n/a,1,1
Bellflower Unified,Los Angeles,4629,-0.02,115,0.19,77,0.13,3,-0.667,22,0.455,7,-0.571
Beverly Hills Unified,Los Angeles,2006,-0.04,12,2,0,n/a,2,0.5,1,1,8,0.625
Bonita Unified,Los Angeles,3470,-0.02,56,-0.06,27,-0.074,3,0.667,5,-0.8,16,-0.062
Burbank Unified,Los Angeles,6942,0,225,-0.14,139,-0.18,7,0.429,8,-0.75,63,-0.032
Castaic Union,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
CEA Los Angeles Co,Los Angeles,58,1,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Centinela Valley Union High,Los Angeles,6635,0,475,0.06,363,0.121,6,0.333,73,-0.137,11,-0.364
Charter Oak Unified,Los Angeles,2055,-0.04,20,-0.17,16,0.125,0,n/a,1,-1,3,-2
Claremont Unified,Los Angeles,2520,-0.03,13,0.25,5,0.4,1,0,0,n/a,7,0.143
Compton Unified,Los Angeles,6212,0.02,597,0.14,421,0.126,1,1,128,0.07,1,0
Covina-Valley Unified,Los Angeles,5108,-0.04,84,0.07,68,0.176,0,n/a,5,-0.8,9,-0.222
Culver City Unified,Los Angeles,2354,-0.02,78,-0.06,42,0.119,3,-2.333,15,-0.133,12,-0.333
Downey Unified,Los Angeles,8387,0.01,118,-0.44,100,-0.79,1,-2,10,0.1,6,-0.667
Duarte Unified,Los Angeles,1273,0.02,22,-0.26,15,-0.467,0,n/a,1,-2,5,0.8
East Whittier City Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Eastside Union Elementary,Los Angeles,1,-6,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
El Monte City,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
El Monte Union High,Los Angeles,10056,-0.01,194,0,169,-0.012,12,0,5,0.8,5,0.2
El Rancho Unified,Los Angeles,3313,-0.03,78,0.2,74,0.081,1,1,0,n/a,1,1
El Segundo Unified,Los Angeles,1246,0.02,14,0.37,5,0.8,0,n/a,2,0,5,-0.4
Garvey Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Glendale Unified,Los Angeles,9287,-0.02,104,-0.42,42,-0.452,5,-1.2,4,0,50,-0.74
Glendora Unified,Los Angeles,2568,0.19,15,-0.33,5,0,1,-2,0,n/a,8,-0.125
Gorman Elementary,Los Angeles,657,0.04,52,0.25,16,0.25,0,n/a,4,0.25,29,0.138
Hacienda la Puente Unified,Los Angeles,6876,0.01,158,0.44,133,0.233,14,0.786,1,0,8,0.375
Hawthorne,Los Angeles,595,-0.05,1,-0.75,1,-3,0,n/a,0,n/a,0,n/a
Hermosa Beach City Elementary,Los Angeles,1087,0.41,164,-0.18,97,0.093,0,n/a,19,0.421,46,0.609
Hughes-Elizabeth Lakes Union Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Inglewood Unified,Los Angeles,3859,-0.09,197,0.16,117,0.051,1,0,74,0.108,1,0
Keppel Union Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
La Canada Unified,Los Angeles,1444,-0.01,10,0.75,1,1,5,0.8,0,n/a,3,-0.333
Lancaster Elementary,Los Angeles,1,-2,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Las Virgenes Unified,Los Angeles,4063,0,87,2.5,8,0.5,8,0.5,3,1,66,0.788
Lawndale Elementary,Los Angeles,484,-0.01,4,-0.5,2,-2,0,n/a,2,0,0,n/a
Lennox,Los Angeles,1185,0.02,14,-0.37,12,-0.75,0,n/a,2,1,0,n/a
Little Lake City Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Long Beach Unified,Los Angeles,27128,-0.01,1486,0.62,894,0.395,63,0.302,287,0.307,144,0.375
Los Angeles County Office of Education,Los Angeles,6538,-0.07,2559,0.27,1774,0.2,15,-0.4,548,0.091,140,0.307
Los Angeles Unified,Los Angeles,205340,-0.01,12464,0,7694,-0.2,165,-0.182,1560,-0.096,1080,0.364
Los Nietos,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Lowell Joint,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Lynwood Unified,Los Angeles,4706,-0.11,352,-0.38,303,-0.482,1,-2,42,-0.738,3,-20.333
Manhattan Beach Unified,Los Angeles,2461,0.03,38,1.14,8,0.875,3,0.667,2,-2,25,0.64
Monrovia Unified,Los Angeles,1944,-0.02,39,0.18,22,0.136,4,1,4,0,9,0
Montebello Unified,Los Angeles,10622,-0.04,427,0.25,411,0.2,2,-1.5,1,-3,5,-0.4
Mountain View Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Norwalk-La Mirada Unified,Los Angeles,6729,-0.01,91,0.08,79,0.089,1,0,2,-0.5,5,-0.4
Palmdale Elementary,Los Angeles,174,-0.15,142,80.6,100,0.99,3,1,28,0.964,9,1
Palos Verdes Peninsula Unified,Los Angeles,4332,0.01,7,1,2,0,2,1,0,n/a,2,0.5
Paramount Unified,Los Angeles,5299,0.01,207,-0.11,170,-0.118,2,1,25,-0.12,2,-2.5
Pasadena Unified,Los Angeles,5929,-0.01,326,-0.11,225,0.013,2,-4,70,-0.157,17,-1.353
Pomona Unified,Los Angeles,8137,-0.01,347,-0.04,289,-0.069,7,0,32,0.094,16,0.25
Redondo Beach Unified,Los Angeles,2635,-0.01,32,-0.14,10,-0.2,1,0,2,0,18,-0.111
Rosemead Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Rowland Unified,Los Angeles,5080,0.03,144,0.17,90,0.178,18,-0.056,4,-1,15,0.267
San Gabriel Unified,Los Angeles,3114,-0.04,159,0.09,108,0.009,24,0.792,4,-1.25,18,-0.333
San Marino Unified,Los Angeles,1103,-0.03,3,2,1,1,2,0.5,0,n/a,0,n/a
Santa Monica-Malibu Unified,Los Angeles,3892,-0.01,49,-0.24,24,-0.375,0,n/a,12,0.583,12,-1.083
SBE - Doris Topsy-Elvord Academy,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
SBE - Lifeline Education Charter,Los Angeles,196,0.14,27,0.66,15,0.4,0,n/a,11,0.545,0,n/a
SBE - New West Charter,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
SBE - The School of Arts and Enterprise,Los Angeles,401,-0.08,10,0,6,0,0,n/a,2,1,1,0
SBE - Today's Fresh Start Charter,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
South Pasadena Unified,Los Angeles,1567,0.02,14,-0.1,1,-2,7,0.429,1,-2,5,0
South Whittier Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Temple City Unified,Los Angeles,2097,0.01,22,0,4,-0.75,15,0.333,0,n/a,2,0
Torrance Unified,Los Angeles,8862,-0.01,44,-0.5,20,-0.35,4,-4.25,9,-0.222,9,-1.889
Valle Lindo Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Walnut Valley Unified,Los Angeles,6071,0,23,-0.33,7,-0.286,11,-0.273,1,-1,3,-0.333
West Covina Unified,Los Angeles,4863,0.07,112,0,30,0.267,1,-2,27,0.037,42,0.048
Westside Union Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Whittier City Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Whittier Union High,Los Angeles,13567,0,196,-0.07,175,-0.029,0,n/a,2,-0.5,18,0.056
William S. Hart Union High,Los Angeles,18598,0.02,380,-0.05,200,0.045,6,0.5,67,-0.075,88,-0.114
Wilsona Elementary,Los Angeles,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Wiseburn Elementary,Los Angeles,893,0.25,16,0.38,1,-2,1,1,2,0.5,6,1
Anaheim City,Orange,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Anaheim Union High,Orange,22198,-0.01,673,0.03,503,-0.036,28,0.643,23,0.304,93,0.151
Brea-Olinda Unified,Orange,2068,0.01,17,-0.2,10,0.2,1,-4,0,n/a,5,0
Buena Park Elementary,Orange,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
Capistrano Unified,Orange,16899,0,132,0.14,58,0.103,2,0,7,0.286,56,0.125
