School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
HOOPER AVENUE PRIMARY CENTER,353,347,98,6,0,0,0,LOS ANGELES
CLARA BARTON ELEMENTARY,295,293,99,1,1,0,0,EASTVALE
VAUGHN NEXT CENTURY LEARNING CENTER,275,219,80,55,0,1,1,SAN FERNANDO
CONGRESSMAN JERRY LEWIS ELEMENTARY,271,269,99,0,0,2,2,FORT IRWIN
FENTON PRIMARY CENTER,260,254,98,2,0,4,2,PACOIMA
ROSA PARKS ELEMENTARY,254,245,96,4,0,5,0,CORONA
SKY MOUNTAIN CHARTER,251,134,53,2,0,115,27,PLACERVILLE
MARTHA ESCUTIA PRIMARY CENTER,250,150,60,99,0,1,0,BELL
"DANNY J. BAKEWELL, SR., PRIMARY CENTER",237,213,90,24,0,0,0,LOS ANGELES
HARADA ELEMENTARY,235,210,89,16,0,9,2,EASTVALE
MAGNOLIA AVENUE ELEMENTARY,222,152,68,70,0,0,0,LOS ANGELES
PACOIMA CHARTER ELEMENTARY,222,213,96,7,0,2,0,PACOIMA
ZELA DAVIS,214,211,99,3,0,0,0,HAWTHORNE
WHITTIER ELEMENTARY,206,190,92,16,0,0,0,HEMET
ROOSEVELT ELEMENTARY,206,205,100,0,1,0,0,SAN BERNARDINO
LINCOLN ELEMENTARY,202,200,99,2,0,0,0,LONG BEACH
EASTVALE ELEMENTARY,202,196,97,4,0,2,1,EASTVALE
WHITTIER ELEMENTARY,200,191,96,8,0,1,0,LONG BEACH
MONTAGUE CHARTER ACADEMY,200,191,96,7,0,2,0,PACOIMA
VALERIO STREET ELEMENTARY,200,196,98,4,0,0,0,VAN NUYS
BELL GARDENS ELEMENTARY,200,192,96,8,0,0,0,BELL GARDENS
FAIR AVENUE ELEMENTARY,199,183,92,14,0,2,1,NORTH HOLLYWOOD
LAMPSON ELEMENTARY,199,188,94,10,0,1,0,GARDEN GROVE
MOJAVE VISTA ELEMENTARY,198,164,83,32,0,2,0,VICTORVILLE
BURNETT ELEMENTARY,196,128,65,67,0,1,1,LONG BEACH
GREENWOOD ELEMENTARY,196,195,99,1,0,0,0,MONTEBELLO
TUMBLEWEED ELEMENTARY,194,188,97,5,0,1,0,PALMDALE
ART HAYCOX ELEMENTARY,193,191,99,2,0,0,0,OXNARD
PARA LOS NINOS - EVELYN THURMAN GRATTS PRIMARY,192,138,72,54,0,0,0,LOS ANGELES
JUAN CABRILLO ELEMENTARY,192,163,85,25,0,4,0,HAWTHORNE
PONDEROSA ELEMENTARY,191,186,97,5,0,0,0,ANAHEIM
HART STREET ELEMENTARY,190,189,99,1,0,0,0,CANOGA PARK
OSO GRANDE ELEMENTARY,189,177,94,5,1,6,0,LADERA RANCH
SAUL MARTINEZ ELEMENTARY,188,186,99,2,0,0,0,MECCA
SOUTHSHORE ELEMENTARY,188,186,99,0,0,2,0,MENIFEE
GRANT ELEMENTARY,187,185,99,2,0,0,0,LONG BEACH
FORD BOULEVARD ELEMENTARY,187,182,97,5,0,0,0,LOS ANGELES
UNION AVENUE ELEMENTARY,187,57,30,130,0,0,0,LOS ANGELES
CARPENTER COMMUNITY CHARTER,187,162,87,9,0,16,0,STUDIO CITY
WESTWOOD CHARTER ELEMENTARY,186,87,47,96,0,3,0,LOS ANGELES
MADISON ELEMENTARY,186,175,94,11,0,0,0,SANTA ANA
SAN MIGUEL ELEMENTARY,185,154,83,31,0,0,0,SOUTH GATE
WOODLAND ELEMENTARY,185,159,86,20,0,6,0,COSTA MESA
GULF AVENUE ELEMENTARY,184,121,66,63,0,0,0,WILMINGTON
JESSIE HAYDEN ELEMENTARY,184,183,99,0,0,1,1,MIDWAY CITY
RONALD REAGAN ELEMENTARY,184,177,96,0,0,7,0,PALM DESERT
OAK MEADOWS ELEMENTARY,184,174,95,2,0,8,0,MURRIETA
DOOLEY ELEMENTARY,183,182,99,0,0,1,0,LONG BEACH
FOOTHILL RANCH ELEMENTARY,182,101,55,66,5,10,0,FOOTHILL RANCH
OXFORD PREPARATORY ACADEMY - CHINO VALLEY,182,168,92,4,0,10,3,CHINO
MOFFETT ELEMENTARY,181,173,96,8,0,0,0,LENNOX
HARTE ELEMENTARY,181,166,92,14,0,1,0,LONG BEACH
OLYMPIC PRIMARY CENTER,180,24,13,156,0,0,0,LOS ANGELES
ADDAMS ELEMENTARY,179,165,92,14,0,0,0,LONG BEACH
LINCOLN -ABRAHAM- ELEMENTARY,179,167,93,12,0,0,0,ANAHEIM
MAY RANCH ELEMENTARY,179,176,98,0,0,3,0,PERRIS
FORTY-NINTH STREET ELEMENTARY,178,152,85,26,0,0,0,LOS ANGELES
ONE HUNDRED SEVENTH STREET ELEMENTARY,178,87,49,91,0,0,0,LOS ANGELES
CESAR E. CHAVEZ ELEMENTARY,178,173,97,4,0,1,0,BELL GARDENS
TAMARISK,178,174,98,4,0,0,0,PALMDALE
MOUNTAIN VISTA ELEMENTARY,178,175,98,2,0,1,0,INDIO
GARFIELD ELEMENTARY,177,177,100,0,0,0,0,LONG BEACH
