Organization,Mission,Location,Phone,Email,Serves,Website,Affiliation,Need
Little Tokyo Service Center,A Community Development Corporation to meet the critical needs of people and build community.,"231 E. Third St., Suite G-106, Los Angeles, CA 90013 ",(213) 473-3030,,"children, homeless",http://www.ltsc.org/,Asian-American,"Cars, Money "
Reading to Kids,Dedicated to inspiring underserved children with a love of reading.,"1600 Sawtelle Blvd., Suite 210, Los Angeles, CA 90025 ",(310) 479-7455,inforeadingtokids.org,,http://www.readingtokids.org,,"Volunteer Time, Money, Food, Office Equipment, Prize Books, Miscellaneous Reading Club Materials, Cars "
Los Angeles Regional Food Bank,Mobilizing resources to fight hunger in our community.,"1734 East 41st St., Los Angeles, CA 90058",(323) 234-3030,,,http://www.lafightshunger.org/,,"Volunteer Time, Money, Food"
World Harvest Food Bank,"Providing food, basic staples and living essentials to people who are at risk of hunger and to the needy.","1014 Venice Blvd, Los Angeles CA 90003",(213) 746-2227,,,http://www.worldharvestfoodbank.org/,,"Food, Money, Volunteer Time"
Los Angeles Mission,"Providing help, hope and opportunity to men, women and children in need.","303 East 5th St., Los Angeles, CA 90013",(213) 629-1227,,homeless,https://losangelesmission.org,Christian,"Food, Money, Clothing, Personal Care Items"
Be an Elf,"Bringing a brighter, happier Christmas to thousands of underprivileged children and their families.","8117 W Manchester Ave., Suite 500, Playa del Rey CA 90293",(310) 577-9828,patrick2@beanelf.org,underprivileged children and their families,http://beanelf.org/,,"Volunteer Time, Donations, Gifts for Families and Children, Elves"
One Voice LA,"The food, toys, books and celebration provided by the One Voice volunteers bring much needed hope to families living in poverty that lasts well beyond the holiday season.","1228 15th St., Suite C, Santa Monica, CA 90404",(310) 458-9961,giftcards@onevoice-la.org,families living in poverty,http://onevoice-la.org/holiday-program,,"Food, Toys, Books, Volunteer Time, Donations Through Purchased Gift Cards and Food Baskets"
Children Youth and Family Collaborative,"Establishing partnerships with youth-centered organizations and community volunteers with youth in foster care and at-risk youth for the purpose of enhancing, supporting and providing a holistic approach for their educational, vocational and overall well-being.","1200 W. 37th Place, Los Angeles, CA 90007",(323) 730-9400,vcord@cyfcla.org,foster and at-risk youth in Los Angeles and Compton,http://cyfcla.org,,"Gift Wrappers, Buyers, Ushers/crowd Control, Servers, Registration"
Food on Foot,"Dedicated to providing the poor and homeless of Los Angeles with nutritious meals, clothing, and assistance in the transition to employment and life off the streets.","1625 N. Schrader Blvd., Los Angeles, CA",(310) 442-0088,info@foodonfoot.org,homeless,http://www.foodonfoot.org/,,"Volunteer Time, Money"
Fred Jordan Missions,"Christmas Celebration on Skid Row draws upwards of 12,000 needy children and their mothers.","445 Towne Ave., Los Angeles, CA 90013",(626) 915-1981,,homeless,http://www.fjm.org/news_events/past_events/thanksgiving_day.html,Christian,"Volunteer Time, Money, Food, Clothes"
Five Acres,"Promoting safety, well-being and permanency for children and their families by building on their strengths and empowering them within communities. ","760 W. Mountain View St., Altadena, CA, 91001",(606) 798-6793,jabghari@5acres.org,"children and families in need in Los Angeles, Ventura, Orange and San Bernardino, Riverside and San Diego.",http://www.5acres.org/events/help-this-holiday,,"Family Angels, Host a Holiday Toy Drive, Sponsor a Holiday Wish Tree "
Pacific Barber Shop,Offering free haircuts to anyone that brings in an unwrapped toy on Dec. 8 to sponsor the kids at Upward Bound.,"520 Wilshire Blvd. Santa Monica, CA 90401",(310) 394-6601,pacificbarbershop@gmail.com,homeless,,,Gift Donations
Los Angeles County Toy Loan,The Toy Loan Program allows children to borrow toys from a Toy Loan Center in the same manner in which they borrow books from the public library.,"2615 South Grand Ave., 2nd Floor, Los Angeles, CA 90007-2608",(213) 744-4344,dpssvolunteers@dpss.lacounty.gov,children in need,http://dpss.lacounty.gov/dpss/toyloan/default.cfm,,"Toys, Volunteer Time"
One Incredible Family,"Providing services to the communities of disadvantaged families, children, and individuals.","P. O. Box 2837 Culver City, CA 90231-2837",(310) 313-0123,oifhelpsla@aol.com,"disadvantaged families, individuals and communities",http://www.oneincrediblefamily.org/,,Volunteer Time
Children's Hospital Los Angeles,Providing families with lasting memories and also to offer gifts that will improve the quality of their lives. The gifts that we encourage will help families to manage the challenges associated with having a child who is in the hospital.,"4650 Sunset Blvd. Los Angeles, CA 90027",(323) 361-2308,rgrushkin@chla.usc.edu,Children's Hospital Los Angeles families,http://www.chla.org/site/c.ipINKTOAJsG/b.6538899/k.1D30/Holidays_from_the_Heart__Gifts_for_Families__Volunteer.htm,,"Gifts for Families of Patients, Sponsors, Volunteer Time, Gifts and Donations"
Holiday Project,"The Holiday Project is a national nonprofit organization comprised of thousands of volunteers who visit with thousands more people spending Christmas, Chanukah and other holidays during the year confined to hospitals, nursing homes and other institutions. ",,(202) 977-3007,nancy_gallery@yahoo.com,"Independent and Assisted Living, hospitals, psychiatric institutions, group homes, and even prisons.",http://www.holiday-project.org/index.html,,Volunteer Time
A Crystal Starr Christmas Foster Kids Benefit,"Hathaway-Sycamores Child and Family Services provides for more than 8,000 children and families annually through a network of facilities stretching across the greater Los Angeles area.","614 N. La Brea Ave., Los Angeles, CA, 90036",,Crystalstarrmusic@me.com,foster kids,http://acrystalstarrchristmas.webs.com/,,"Financial Contributions, Volunteer Time, Toys"
The Saban Free Clinic,The Saban Free Clinic’s Annual Patient Holiday Party is on Dec 13 from 12 to 3 p.m.,"1763 N. Gower St., Los Angeles, CA, 90028",(323) 782-7824,dfogelman@tsfc.org,"men, women, and children in need to health and human services",http://www.thesabanfreeclinic.org/,,Volunteer Time
Westside Food Bank,"Westside Food Bank supplies food to the food assistance programs of social service agencies in Santa Monica, Venice, Culver City, West Los Angeles, West Hollywood, Inglewood, and the LAX area.","1710 22nd St., Santa Monica, CA, 90404",(310) 828-6016,,"children, domestic abuse victims, poor, elderly",http://westsidefoodbankca.org/,,"Ganned Goods, Money"
Downtown Women's Center,"Provides permanent supportive housing and a safe and healthy community fostering dignity, respect, and personal stability, and to advocate ending homelessness for women. ","442 S. San Pedro St., Los Angeles, CA, 90013",(213) 680-0600,,homeless women,http://www.dwcweb.org/index.htm,,"Volunteer Time, Money, Gifts"
The Jewish Federation of Greater Los Angeles,"Convenes and leads the community and leverages its resources to assure the continuity of the Jewish people, support a secure State of Israel, care for Jews in need here and abroad, and mobilize on issues of concern to the local community, all with our local, national, and international partners.","6025 Valley Circle Blvd., Woodland Hills, CA, 91367",(323) 761-8000,,poor Jewish people,http://www.jewishla.org/,Jewish,Toys
The Gentle Barn,"Rehabilitates abused farm and domestic animals to become therapeutic ambassadors to at-risk youth, children with special needs, and school groups.","15825 Sierra Highway, Santa Clarita, CA",(661) 252-2440,,abused animals,http://www.gentlebarn.org/index.php,,"Volunteer Time, Money"
GenerationOn: Care Packages for our troops,Help by sending items to help troops cope with the weather.,"281 Park Ave. South, 6th Floor, New York City, N.Y. 10010",(917) 746-8182,info@generationOn.org,any U.S. soldier deployed abroad during the holidays,http://www.generationon.org/sites/default/files/flat-page/files/genon_carepackages_troops_edited.pdf,,List of Items Here: http://anysoldier.com/whattosend.cfm
Giving Children Hope,"Giving Children Hope provides for the welfare, health and self-esteem of Orange County Unified School District students who the McKinney-Vento act identifies as homeless.","8332 Commonwealth Ave., Buena Park, CA 90621",(714) 523-4454,dbryson@godaid.org,homeless children,http://www.gchope.org,,"Volunteer Time, Clothing Donations, Toys"
Union Rescue Mission,"Dedicated to helping the homeless men, women and children of the Skid Row area.","545 San Pedro St. Los Angeles, CA, 90013",(213) 347-6300,,homeless,http://urm.org/get-involved/volunteer/,,Volunteer Time
HOPE (Helping Other People Eat),HOPE’s mission is to restore hope to the homeless by providing meals and job help.,"503 Olympic Blvd., Santa Monica, CA 90406",(310) 801-3411,,homeless,http://www.friendsofchoices.org/site-hope/hope_help.htm,,"Volunteer Time, Canned Goods, Money"
Operation Gratitude,"Operation Gratitude care packages contain food, hygiene products, entertainment items and personal letters of appreciation, all wrapped with good wishes of love and support","16444 Refugio Rd, Encino, CA 91436",(262) 674-7281,cazerah@aol.com,"Wounded Warriors, Veterans and Deployed members of all Military branches: Army, Navy, Air Force, Marines, Coast Guard",http://www.operationgratitude.com/,,"Volunteer Time, Donations, Used Cell Phones"
